SISTEMA,NOMBRE,LINEA,EST,CVE_EST,CVE_EOD17,TIPO,ALCALDIAS,AnO
"STC Metro",Aculco,8,13,STC0813,5134,Intermedia,IZTAPALAPA,1994
"STC Metro",Allende,2,12,STC0212,5041,Intermedia,CUAUHTEMOC,1970
"STC Metro",Apatlaco,8,12,STC0812,5135,Intermedia,IZTAPALAPA,1994
"STC Metro","Aquiles Serdan",7,2,STC0702,5120,Intermedia,AZCAPOTZALCO,1988
"STC Metro",Aragon,5,9,STC0509,5096,Intermedia,GUSTAVO_A_MADERO,1981
"STC Metro",Atlalilco,12,12,STC1212,5021,Transbordo,IZTAPALAPA,2012
"STC Metro",Atlalilco,8,15,STC0815,5136,Transbordo,IZTAPALAPA,1994
"STC Metro",Auditorio,7,8,STC0708,5121,Intermedia,MIGUEL_HIDALGO,1984
"STC Metro","Autobuses del Norte",5,3,STC0503,5097,Intermedia,GUSTAVO_A_MADERO,1982
"STC Metro",Balbuena,1,5,STC0105,5001,Intermedia,VENUSTIANO_CARRANZA,1969
"STC Metro",Balderas,1,13,STC0113,5002,Transbordo,CUAUHTEMOC,1969
"STC Metro",Balderas,3,9,STC0309,5065,Transbordo,CUAUHTEMOC,1970
"STC Metro","Barranca del Muerto",7,14,STC0714,5122,Terminal,ALVARO_OBREGON,1985
"STC Metro","Bellas Artes",2,11,STC0211,5042,Transbordo,CUAUHTEMOC,1970
"STC Metro","Bellas Artes",8,2,STC0802,5137,Transbordo,CUAUHTEMOC,1994
"STC Metro",Bondojito,4,8,STC0408,5086,Intermedia,GUSTAVO_A_MADERO,1981
"STC Metro","Boulevard Puerto Aereo",1,4,STC0104,5003,Intermedia,VENUSTIANO_CARRANZA,1969
"STC Metro","Calle 11",12,8,STC1208,5022,Intermedia,IZTAPALAPA,2012
"STC Metro",Camarones,7,3,STC0703,5123,Intermedia,AZCAPOTZALCO,1988
"STC Metro","Canal del Norte",4,6,STC0406,5087,Intermedia,VENUSTIANO_CARRANZA,1981
"STC Metro",Candelaria,1,8,STC0108,5004,Transbordo,VENUSTIANO_CARRANZA,1969
"STC Metro",Candelaria,4,4,STC0404,5088,Transbordo,VENUSTIANO_CARRANZA,1981
"STC Metro","Centro Medico",3,12,STC0312,5066,Transbordo,CUAUHTEMOC,1980
"STC Metro","Centro Medico",9,9,STC0909,5153,Transbordo,CUAUHTEMOC,1987
"STC Metro","Cerro de la Estrella",8,17,STC0817,5138,Intermedia,IZTAPALAPA,1994
"STC Metro","Ciudad Deportiva",9,3,STC0903,5156,Intermedia,VENUSTIANO_CARRANZA,1987
"STC Metro","Colegio Militar",2,6,STC0206,5044,Intermedia,MIGUEL_HIDALGO,1970
"STC Metro","Constitucion de 1917",8,19,STC0819,5140,Terminal,IZTAPALAPA,1994
"STC Metro",Constituyentes,7,9,STC0709,5124,Intermedia,MIGUEL_HIDALGO,1985
"STC Metro",Consulado,4,7,STC0407,5089,Transbordo,GUSTAVO_A_MADERO,1981
"STC Metro",Consulado,5,7,STC0507,5098,Transbordo,GUSTAVO_A_MADERO,1981
"STC Metro",Copilco,3,20,STC0320,5067,Intermedia,COYOACAN,1983
"STC Metro",Coyoacan,3,17,STC0317,5068,Intermedia,BENITO_JUAREZ,1983
"STC Metro",Coyuya,8,10,STC0810,5141,Intermedia,IZTACALCO,1994
"STC Metro","Cuatro Caminos",2,1,STC0201,5045,Terminal,MIGUEL_HIDALGO,1984
"STC Metro",Cuauhtemoc,1,14,STC0114,5006,Intermedia,CUAUHTEMOC,1969
"STC Metro",Cuitlahuac,2,4,STC0204,5046,Intermedia,MIGUEL_HIDALGO,1970
"STC Metro",Culhuacan,12,11,STC1211,5023,Intermedia,IZTAPALAPA,2012
"STC Metro",Chabacano,2,16,STC0216,5043,Transbordo,CUAUHTEMOC,1970
"STC Metro",Chabacano,8,7,STC0807,5139,Transbordo,CUAUHTEMOC,1994
"STC Metro",Chabacano,9,7,STC0907,5154,Transbordo,CUAUHTEMOC,1987
"STC Metro",Chapultepec,1,17,STC0117,5005,Intermedia,CUAUHTEMOC,1969
"STC Metro",Chilpancingo,9,10,STC0910,5155,Intermedia,CUAUHTEMOC,1988
"STC Metro","Deportivo 18 de Marzo",3,2,STC0302,5069,Transbordo,GUSTAVO_A_MADERO,1979
"STC Metro","Deportivo 18 de Marzo",6,9,STC0609,5111,Transbordo,GUSTAVO_A_MADERO,1986
"STC Metro","Division del Norte",3,15,STC0315,5071,Intermedia,BENITO_JUAREZ,1980
"STC Metro",Doctores,8,5,STC0805,5142,Intermedia,CUAUHTEMOC,1994
"STC Metro","Eduardo Molina",5,8,STC0508,5099,Intermedia,GUSTAVO_A_MADERO,1981
"STC Metro","Eje Central",12,15,STC1215,5024,Intermedia,BENITO_JUAREZ,2012
"STC Metro","El Rosario",6,1,STC0601,5112,"Terminal / Transbordo",AZCAPOTZALCO,1983
"STC Metro","El Rosario",7,1,STC0701,5125,"Terminal / Transbordo",AZCAPOTZALCO,1988
"STC Metro",Ermita,12,14,STC1214,5025,Transbordo,BENITO_JUAREZ,2012
"STC Metro",Ermita,2,22,STC0222,5047,Transbordo,BENITO_JUAREZ,1970
"STC Metro","Escuadron 201",8,14,STC0814,5143,Intermedia,IZTAPALAPA,1994
