CANTIDAD_ESTACIONES,ALCALDIAS
20,VENUSTIANO_CARRANZA
30,CUAUHTEMOC
13,MIGUEL_HIDALGO
3,ALVARO_OBREGON
15,IZTAPALAPA
18,BENITO_JUAREZ
5,TLAHUAC
5,COYOACAN
17,GUSTAVO_A_MADERO
3,IZTACALCO
9,AZCAPOTZALCO
